english,telugu
Hello,హలో
Are you good?,మీరు బాగున్నారా?
I am happy,నేను సంతోషంగా ఉన్నాను
how are you?,మీరు ఎలా ఉన్నారు?
I am good,నేను భాగున్నాను
Are you good?,మీరు బాగున్నారా?
I am angry,నేను కోపంగా ఉన్నాను
I am sad,నేను విచారంగా ఉన్నాను
This is my friend,ఇది నా స్నేహితుడు
This is my home,ఇది నా ఇల్లు
Welcome,స్వాగతం
Apple,ఆపిల్
Book,పుస్తకం
Cat,పిల్లి
Dog,కుక్క
Elephant,ఏనుగు
Fish,చేప
Guitar,గిటార్
House,ఇల్లు
Ice cream,ఐస్ క్రీం
Jacket,జాకెట్
Key,కీ
Lion,సింహం
Mouse,మౌస్
Notebook,నోట్బుక్
Orange,నారింజ
Piano,పియానో
Queen,రాణి
Rabbit,కుందేలు
Sun,సూర్యుడు
Tree,చెట్టు
He is popular,అతను ప్రజాదరణ పొందాడు
She is tiny,ఆమె చిన్నది
I saw him running to the store,అతను దుకాణానికి పరిగెత్తడం నేను చూశాను
Friends,స్నేహితులు
I wonder if he likes you,అతను మిమ్మల్ని ఇష్టపడుతున్నాడా అని నేను ఆశ్చర్యపోతున్నాను
Have you tried this,మీరు దీన్ని ప్రయత్నించారా?
You shouldnt do that,మీరు అలా చేయకూడదు
Dont speak like that,అలా మాట్లాడకండి
Can I sleep now?,నేను ఇప్పుడు నిద్రపోవచ్చా?
I need some sleep,నాకు కొంత నిద్ర అవసరం
I am tired,నేను అలసిపోయాను
Im sure he likes it,అతను దానిని ఇష్టపడుతున్నాడని నేను ఖచ్చితంగా అనుకుంటున్నాను
She walks everyday,ఆమె ప్రతిరోజూ నడుస్తుంది
He took me to the gym,అతను నన్ను జిమ్‌కు తీసుకువెళ్ళాడు
She was dancing,ఆమె డ్యాన్స్ చేస్తోంది
I like this,నాకు ఇది ఇష్టం
Not for me,నాకు కాదు
Love this,దీనిని ప్రేమించు
Enojying this?,దీన్ని ఎనోజింగ్ చేస్తున్నారా?
is it expensive,ఇది ఖరీదైనది
Why is it so expensive,ఎందుకు అంత ఖరీదైనది
Let me see your hand,మీ చేతిని చూద్దాం
Are you sick,నీకు ఒంట్లో బాలేదా
He sings well,అతను బాగా పాడాడు
I forgot to ask you your name,నేను మీ పేరు అడగడం మర్చిపోయాను
"Goodness, what a coincidence ","మంచితనం, ఎంత యాదృచ్చికం"
It's good,ఇది బాగుంది
I never had coffee before,నేను ఇంతకు ముందు కాఫీ తీసుకోలేదు
You look a lot like him,మీరు అతనిలాగే చాలా కనిపిస్తారు
"Now I think about it,","ఇప్పుడు నేను దాని గురించి ఆలోచిస్తున్నాను,"
He was such a smart boy,అతను అలాంటి స్మార్ట్ బాయ్
The new student?,కొత్త విద్యార్థి?
My son sings well,నా కొడుకు బాగా పాడాడు
I always tell him.,నేను ఎప్పుడూ అతనికి చెప్తాను.
I dont think that's the reason,నేను కారణం అని అనుకోను
Thanks to him,అతనికి ధన్యవాదాలు
That job sounds really nice,ఆ ఉద్యోగం చాలా బాగుంది
About him,అతని గురించి
Is he getting bullied a lot,అతను చాలా వేధింపులకు గురవుతున్నాడా?
I was so busy,నేను చాలా బిజీగా ఉన్నాను
I couldn't think about anything,నేను దేని గురించి ఆలోచించలేను
Pathetic,దయనీయమైనది
Getting along with his friends,తన స్నేహితులతో కలిసి ఉండటం
I'm so glad,నాకు చాలా సంతోషం
What was that?,అది ఏమిటి?
More milk,ఎక్కువ పాలు
Another cup,మరో కప్పు
What have you ever done for me?,మీరు ఎప్పుడైనా నా కోసం ఏమి చేసారు?
I'm so happy you're her friend,మీరు ఆమె స్నేహితుడికి చాలా సంతోషంగా ఉంది
I know him,నాకు అతను తెలుసు
We have someone,మాకు ఎవరైనా ఉన్నారు
I tell you everything,నేను మీకు ప్రతిదీ చెప్తాను
For the americano,అమెరికనో కోసం
Take it for my sake,నా కోసమే తీసుకోండి
I want both of those,నాకు ఆ రెండూ కావాలి
Thank you mam,ధన్యవాదాలు మామ్
Don't worry about him,అతని గురించి చింతించకండి
I just came to bring some food.,నేను కొంత ఆహారాన్ని తీసుకురావడానికి వచ్చాను.
Did you eat?,నువ్వు తిన్నావా?
He's living well,అతను బాగా జీవిస్తున్నాడు
I can bring a gift,నేను బహుమతిని తీసుకురాగలను
I cant find my pen,నేను నా పెన్నును కనుగొనలేకపోయాను
I have an exam,నాకు పరీక్ష ఉంది
I saw everything,నేను ప్రతిదీ చూశాను
My eyes hurt,నా కళ్ళు బాధపడ్డాయి
I was studying,నేను చదువుతున్నాను
you are unforgivable,మీరు క్షమించరానివారు
I can never forget you,నేను నిన్ను ఎప్పటికీ మరచిపోలేను
I dont get it,నేను పొందలేను
Dont make excuses,సాకులు చెప్పవద్దు
He's fast,అతను వేగంగా ఉన్నాడు
I need to buy lcothes,నేను lcothes కొనాలి
Why did you take money from them?,మీరు వారి నుండి ఎందుకు డబ్బు తీసుకున్నారు?
Give me the money,నాకు డబ్బు ఇవ్వండి
you are no different,మీరు భిన్నంగా లేరు
I will never ever give you this money,నేను మీకు ఈ డబ్బును ఎప్పటికీ ఇవ్వను
Come on then,అప్పుడు రండి
Do not fight,పోట్లాడుకోవద్దు
what time is it?,ఇప్పుడు సమయం ఎంత?
Where do you wanna go,మీరు ఎక్కడికి వెళ్లాలనుకుంటున్నారు
I climate is nice,నేను వాతావరణం బాగుంది
Someone like you,మీలాంటి ఎవరైనా
I like this game,నాకు ఈ ఆట ఇష్టం
I have a question.,నాకు ఒక ప్రశ్న ఉంది.
nice to meet you.,మిమ్ములని కలసినందుకు సంతోషం.
you are strong,నీవు బలవంతుడివి
this is a table,ఇది టేబుల్
The dog plays well,కుక్క బాగా ఆడుతుంది
she is beautiful,ఆమె అందంగా ఉంది
Don't release that dog.,ఆ కుక్కను విడుదల చేయవద్దు.
You had better ask him in advance how much it will cost.,ఎంత ఖర్చవుతుందో మీరు ముందుగానే అతనిని అడగడం మంచిది.
That'll be fine.,అది బాగానే ఉంటుంది.
Here you are.,నీవు ఇక్కడ ఉన్నావు.
You're a really good cook.,మీరు నిజంగా మంచి కుక్.
"She cleaned her room in a hurry
","ఆమె తన గదిని ఆతురుతలో శుభ్రం చేసింది
"
His speech impressed us very much.,అతని ప్రసంగం మమ్మల్ని చాలా ఆకట్టుకుంది.
How about tomorrow night?,రేపు రాత్రి ఎలా ఉంటుంది?
good morning,శుభోదయం
good night,శుభ రాత్రి
Sorry,క్షమించండి
I want to be a computer engineer.,నేను కంప్యూటర్ ఇంజనీర్‌గా ఉండాలనుకుంటున్నాను.
He likes to paint by himself.,అతను స్వయంగా చిత్రించడానికి ఇష్టపడతాడు.
I can run faster than him.,నేను అతని కంటే వేగంగా పరిగెత్తగలను.
I'm not sure about the universe.,విశ్వం గురించి నాకు ఖచ్చితంగా తెలియదు.
I lost my watch yesterday.,నేను నిన్న గడియారం కోల్పోయాను.
It wasn't me who knocked on your door.,మీ తలుపు తట్టడం నాకు లేదు.
Everything was ready for the party.,పార్టీకి అంతా సిద్ధంగా ఉంది.
No one will come after me.,నా తర్వాత ఎవరూ రాలేరు.
She likes to paint by herself.,ఆమె స్వయంగా చిత్రించడానికి ఇష్టపడుతుంది.
We went fishing after school.,మేము పాఠశాల తర్వాత చేపలు పట్టడానికి వెళ్ళాము.
You are very lazy.,మీరు చాలా సోమరితనం.
You don’t teach your cat tricks.,మీరు మీ పిల్లి ఉపాయాలు నేర్పించరు.
I would like to help you.,నేను మీకు సహాయం చేయాలనుకుంటున్నాను.
I will get myself a coffee.,నాకు కాఫీ వస్తుంది.
I will not take it from you.,నేను మీ నుండి తీసుకోను.
He does not goes to gym every day.,అతను ప్రతి రోజు జిమ్‌కు వెళ్ళడు.
He is my best friend.,అతను నా బెస్ట్ ఫ్రెండ్.
I learnt English by myself.,నేను స్వయంగా ఇంగ్లీష్ నేర్చుకున్నాను.
They killed him.,వారు అతన్ని చంపారు.
You are not an engineer.,మీరు ఇంజనీర్ కాదు.
You will not come with me.,మీరు నాతో రాలేరు.
My mom likes to paint by herself.,నా తల్లి స్వయంగా చిత్రించడానికి ఇష్టపడుతుంది.
I really need someone.,నాకు నిజంగా ఎవరైనా కావాలి.
This was a threat to us.,ఇది మాకు ముప్పు.
I told my father that I wanted to go to London.,నేను లండన్ వెళ్లాలనుకుంటున్నాను అని నా తండ్రికి చెప్పాను.
I can’t come home early today.,నేను ఈ రోజు ప్రారంభంలో ఇంటికి రాలేను.
Brasil is not a country in Europe.,బ్రసిల్ ఐరోపాలో ఒక దేశం కాదు.
She learned to read by herself.,ఆమె స్వయంగా చదవడం నేర్చుకుంది.
These are for you.,ఇవి మీ కోసం.
I want to do something.,నేను ఏదో చేయాలనుకుంటున్నాను.
You should go take it from him.,మీరు అతని నుండి తీసుకోవాలి.
They speak English in USA.,వారు USA లో ఇంగ్లీష్ మాట్లాడతారు.
I love you.,నేను నిన్ను ప్రేమిస్తున్నాను.
She cook for you.,ఆమె మీ కోసం ఉడికించాలి.
The dogs belong to them.,కుక్కలు వారికి చెందినవి.
We borrowed her car.,మేము ఆమె కారును అరువుగా తీసుకున్నాము.
I have not failed.,నేను విఫలం కాలేదు.
I will take it from you.,నేను మీ నుండి తీసుకుంటాను.
They are the smartest kids here.,వారు ఇక్కడ తెలివైన పిల్లలు.
We don’t have a house.,మాకు ఇల్లు లేదు.
I have got a sister.,నాకు ఒక సోదరి వచ్చింది.
I lost my wallet last week.,నేను గత వారం నా వాలెట్ కోల్పోయాను.
Today we will come.,ఈ రోజు మనం వస్తాము.
I will help you.,నేను మీకు సహాయం చేస్తాను.
No one attended the parent meeting.,తల్లిదండ్రుల సమావేశానికి ఎవరూ హాజరు కాలేదు.
dont’t take the trash out.,చెత్తను బయటకు తీయవద్దు.
Some people won’t eat spicy foods.,కొంతమంది మసాలా ఆహారాన్ని తినరు.
I bought a new house.,నేను కొత్త ఇల్లు కొన్నాను.
I play volleyball.,నేను వాలీబాల్ ఆడుతున్నాను.
You are lazy students.,మీరు సోమరితనం విద్యార్థులు.
My father will not come with us today.,నా తండ్రి ఈ రోజు మాతో రాలేరు.
They live near here.,వారు ఇక్కడ నివసిస్తున్నారు.
My father didn’t go to work in the morning.,నా తండ్రి ఉదయం పనికి వెళ్ళలేదు.
It wasn’t me knocking on your door.,ఇది నేను మీ తలుపు తట్టడం లేదు.
They sleep in the afternoon.,వారు మధ్యాహ్నం నిద్రపోతారు.
We don’t work very hard.,మేము చాలా కష్టపడము.
This was not a threat to us.,ఇది మాకు ముప్పు కాదు.
I came to see you yesterday.,నేను నిన్న మిమ్మల్ని చూడటానికి వచ్చాను.
